x,y,a1g_c center,a1g_c height,a1g_c width,a1g_c confidence,a1g_d center,a1g_d height,a1g_d width,a1g_d confidence,eg center,eg height,eg width,eg confidence
3,4,598.0771100493588,0.6158939556768342,67.95815441903471,1.0,539.6994976201839,1.7781204092362846,62.416751588444264,1.0,481.6331787427699,1.2402755234184017,42.83271132383518,1.0
4,4,598.7420263222624,0.876344817658474,66.98366223326836,1.0,538.8998288850869,2.683034896930926,61.13705948803883,1.0,482.3081568715403,3.142481123280309,51.310249311824506,1.0
5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,599.847537185607,3.0401342133036273,70.64292623138854,1.0,540.123568246935,5.768872500624814,56.54451707734755,1.0,476.7681834317524,6.463253530119982,65.0,1.0
7,4,600.6417114286327,2.057569200853857,73.99629069061461,1.0,536.8460549198984,2.4777547675801084,68.98485689286714,1.0,475.1447909027207,4.080836883065953,48.888375768790425,1.0
8,4,596.9910251499339,1.7907919888257309,42.925170393524326,1.0,534.7284373537832,0.9112414226031774,70.21688632945866,1.0,482.9454410181202,0.5687803490602922,60.079367710150876,1.0
9,4,595.4961658199987,4.862001047478988,55.0769047494937,1.0,536.194874803766,5.961948312993204,59.06711875615661,1.0,479.01431012817096,4.584441415503006,64.7635505698724,1.0
10,4,598.696713043714,4.186264739535622,43.004503530641095,1.0,538.4265919545743,6.462692364608921,63.394721024769304,1.0,482.2739407079679,6.189435977259719,63.73684579440645,1.0
11,4,598.8341189863239,5.247631295413996,45.77920161421673,1.0,536.6332177204114,5.23601102602051,75.0,1.0,478.3720026334834,2.1345886005218966,48.702855936974764,1.0
12,4,600.3663087673704,9.980145918402998,69.47273073616194,1.0,540.6019411657373,6.125221666265922,54.35574191777489,1.0,475.4710693502314,6.179197070334596,62.190772601506325,1.0
13,4,603.5294810607169,4.061495885974263,48.45588007178423,1.0,541.2435685858852,8.740270061411556,75.0,1.0,476.0667681972566,3.5500705759535616,65.0,1.0
14,4,599.9826400723936,1.9672568560752755,50.6980643539563,1.0,539.0428990206069,5.112419003535813,74.39620837096392,1.0,475.9738082713964,4.029124414082704,64.60939604201816,1.0
15,4,599.5190531225559,0.5872453801045698,54.78129813629137,1.0,0.0,0.0,0.0,0.0,478.90824506007533,2.1873534430404593,61.860869601270764,1.0
16,4,0.0,0.0,0.0,0.0,545.4215693530143,2.8835517684976826,71.69523388565277,1.0,0.0,0.0,0.0,0.0
17,4,594.259808132029,0.9194012088720341,40.129304198909836,1.0,547.0432246979374,1.9794581608249648,74.78737874210742,1.0,0.0,0.0,0.0,0.0
18,4,603.0250677427937,27.87717689323305,53.38696444120499,1.0,538.4962786301301,12.4345164647014,65.18215916462178,1.0,475.93180776975106,27.844766874123188,59.2390201536547,1.0
19,4,0.0,0.0,0.0,0.0,543.2742754433498,0.3148831942935351,63.397597679523386,0.66,477.88705516850877,0.6198989616120734,27.685722496658435,0.62
20,4,0.0,0.0,0.0,0.0,537.0791025791598,3.3367772702640237,64.05191965429066,1.0,478.7748136169508,2.330871503862745,54.25958393228832,1.0
21,4,601.6203233876472,4.0990508342263725,75.0,1.0,537.6057535226032,3.3361921179927885,44.94301604708233,1.0,0.0,0.0,0.0,0.0
22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.85132388873456,9.55997547057308,59.094591463610364,1.0
23,4,601.3812175210157,3.9154661767180694,63.971530125469656,1.0,540.432740224744,1.8489264652572586,75.0,1.0,0.0,0.0,0.0,0.0
24,4,593.9615592093232,1.0837551590085723,38.68412402528922,1.0,537.4851188843872,4.763541413429221,75.0,1.0,0.0,0.0,0.0,0.0
25,4,598.0374311248652,0.6178093378739269,61.43188686742961,1.0,539.5615910189476,1.395169297929096,75.0,1.0,476.6767102725692,1.0887641820028031,64.13008991428941,1.0
26,4,595.2050886177755,2.1015843954701396,48.28219103289076,1.0,543.9394917289748,4.017847787921862,75.0,1.0,478.0321654377164,3.2329363157525246,62.43766547256097,1.0
