timestep,pixels
95,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
96,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
97,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
98,"17,15;18,15;19,15;16,16;17,16;18,16;19,16;20,16;16,17;17,17;18,17;19,17;20,17;21,17;16,18;17,18;18,18;19,18;20,18;21,18;17,19;18,19;19,19;20,19;21,19;18,20;19,20;20,20;21,20;19,21;20,21"
99,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
100,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
101,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
102,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
103,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
104,"18,16;19,16;20,16;17,17;18,17;19,17;20,17;21,17;17,18;18,18;19,18;20,18;21,18;22,18;17,19;18,19;19,19;20,19;21,19;22,19;18,20;19,20;20,20;21,20;22,20;19,21;20,21;21,21;22,21;20,22;21,22"
105,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
106,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
107,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
108,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
